workclass: ? | precision: 0.5312 | recall: 0.4722 | fbeta: 0.5000
workclass: Federal-gov | precision: 0.7286 | recall: 0.6711 | fbeta: 0.6986
workclass: Local-gov | precision: 0.7353 | recall: 0.6250 | fbeta: 0.6757
workclass: Never-worked | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
workclass: Private | precision: 0.7366 | recall: 0.6264 | fbeta: 0.6770
workclass: Self-emp-inc | precision: 0.7500 | recall: 0.7881 | fbeta: 0.7686
workclass: Self-emp-not-inc | precision: 0.7845 | recall: 0.6364 | fbeta: 0.7027
workclass: State-gov | precision: 0.6567 | recall: 0.6667 | fbeta: 0.6617
workclass: Without-pay | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
education: 10th | precision: 1.0000 | recall: 0.2000 | fbeta: 0.3333
education: 11th | precision: 1.0000 | recall: 0.2727 | fbeta: 0.4286
education: 12th | precision: 0.3333 | recall: 0.2500 | fbeta: 0.2857
education: 1st-4th | precision: 1.0000 | recall: 0.5000 | fbeta: 0.6667
education: 5th-6th | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
education: 7th-8th | precision: 1.0000 | recall: 0.0000 | fbeta: 0.0000
education: 9th | precision: 1.0000 | recall: 0.1429 | fbeta: 0.2500
education: Assoc-acdm | precision: 0.7805 | recall: 0.5818 | fbeta: 0.6667
education: Assoc-voc | precision: 0.8070 | recall: 0.5412 | fbeta: 0.6479
education: Bachelors | precision: 0.7424 | recall: 0.7780 | fbeta: 0.7598
education: Doctorate | precision: 0.8889 | recall: 0.8889 | fbeta: 0.8889
education: HS-grad | precision: 0.5975 | recall: 0.4159 | fbeta: 0.4904
education: Masters | precision: 0.8441 | recall: 0.8626 | fbeta: 0.8533
education: Preschool | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
education: Prof-school | precision: 0.8144 | recall: 0.9518 | fbeta: 0.8778
education: Some-college | precision: 0.6500 | recall: 0.5107 | fbeta: 0.5720
marital-status: Divorced | precision: 0.7347 | recall: 0.3495 | fbeta: 0.4737
marital-status: Married-AF-spouse | precision: 1.0000 | recall: 0.0000 | fbeta: 0.0000
marital-status: Married-civ-spouse | precision: 0.7254 | recall: 0.6816 | fbeta: 0.7028
marital-status: Married-spouse-absent | precision: 1.0000 | recall: 0.4000 | fbeta: 0.5714
marital-status: Never-married | precision: 0.8696 | recall: 0.4494 | fbeta: 0.5926
marital-status: Separated | precision: 0.8571 | recall: 0.3750 | fbeta: 0.5217
marital-status: Widowed | precision: 1.0000 | recall: 0.4545 | fbeta: 0.6250
occupation: ? | precision: 0.5312 | recall: 0.4722 | fbeta: 0.5000
occupation: Adm-clerical | precision: 0.6250 | recall: 0.4878 | fbeta: 0.5479
occupation: Armed-Forces | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
occupation: Craft-repair | precision: 0.5915 | recall: 0.4565 | fbeta: 0.5153
occupation: Exec-managerial | precision: 0.8081 | recall: 0.7647 | fbeta: 0.7858
occupation: Farming-fishing | precision: 0.7500 | recall: 0.4286 | fbeta: 0.5455
occupation: Handlers-cleaners | precision: 0.5000 | recall: 0.4167 | fbeta: 0.4545
occupation: Machine-op-inspct | precision: 0.7273 | recall: 0.3077 | fbeta: 0.4324
occupation: Other-service | precision: 0.6667 | recall: 0.1667 | fbeta: 0.2667
occupation: Priv-house-serv | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
occupation: Prof-specialty | precision: 0.7778 | recall: 0.8167 | fbeta: 0.7967
occupation: Protective-serv | precision: 0.7419 | recall: 0.5476 | fbeta: 0.6301
occupation: Sales | precision: 0.7268 | recall: 0.6520 | fbeta: 0.6873
occupation: Tech-support | precision: 0.7200 | recall: 0.6316 | fbeta: 0.6729
occupation: Transport-moving | precision: 0.6111 | recall: 0.3607 | fbeta: 0.4536
relationship: Husband | precision: 0.7221 | recall: 0.6760 | fbeta: 0.6983
relationship: Not-in-family | precision: 0.8000 | recall: 0.4121 | fbeta: 0.5440
relationship: Other-relative | precision: 1.0000 | recall: 0.3333 | fbeta: 0.5000
